User,taskID,numberCollisionsDominant,timeCollisionsDominant,distanceDominant,numberCollisionsNotDominant,timeCollisionsNotDominant,distanceNotDominant
10,3,Angled90,22,34.04565,9.936723,41,93.27374,21.03494
10,3,FaceToFaceNoIntersect,14,249.4801,5.858676,50,277.4721,24.02867
10,3,CoupledView,2,9.231323,1.171711,16,36.9188,7.292199
10,3,FacetoFaceIntersect,12,28.52504,5.308441,64,172.58,29.22878
10,3,SideBySide,8,14.95013,3.307761,18,63.41187,9.247099
11,3,FacetoFaceIntersect,9,116.2456,3.439658,60,387.7054,25.82946
11,3,FaceToFaceNoIntersect,10,14.20005,3.727262,23,48.0845,10.20455
11,3,SideBySide,6,4.970322,2.594088,25,26.80162,12.44885
11,3,Angled90,11,11.15233,4.491961,53,68.90547,26.93502
11,3,CoupledView,1,0.2786255,0.3761491,13,22.59744,5.560246
12,3,SideBySide,24,61.2114,10.10183,23,26.84158,10.10218
12,3,CoupledView,18,33.39496,7.018007,19,54.44894,7.535718
12,3,FacetoFaceIntersect,9,15.25705,3.811687,55,94.59915,21.96847
12,3,Angled90,15,25.29425,7.355148,59,144.6471,29.75195
12,3,FaceToFaceNoIntersect,3,30.07111,1.464226,27,28.64201,11.73531
2,3,SideBySide,3,240.4703,1.672019,25,257.6241,11.59371
2,3,CoupledView,5,241.2355,2.43879,8,155.1863,3.833556
2,3,FacetoFaceIntersect,4,240.9727,2.013386,37,221.5612,17.23271
2,3,Angled90,12,180.3825,6.475266,63,290.4233,30.51236
2,3,FaceToFaceNoIntersect,3,167.4656,1.826056,27,197.9135,13.76207
3,3,Angled90,28,522.8343,14.43101,75,646.6038,46.41502
3,3,CoupledView,23,444.7922,14.8152,19,421.3039,10.8583
3,3,FaceToFaceNoIntersect,24,349.1292,11.90874,19,339.4952,8.95782
3,3,SideBySide,8,99.43237,3.686266,10,152.9434,4.696459
3,3,FacetoFaceIntersect,6,191.1187,3.031055,20,168.2109,10.40232
0,1,FacetoFaceIntersect,0,0,0,0,0,0
4,3,FaceToFaceNoIntersect,10,6.377106,4.273983,85,188.2686,38.15938
4,3,FacetoFaceIntersect,5,33.85501,2.063268,70,115.3243,29.05206
4,3,Angled90,8,3.121674,3.950062,34,89.57605,16.54474
4,3,SideBySide,10,5.567749,4.283658,34,33.56955,15.59846
4,3,CoupledView,10,165.4063,4.412161,10,146.5661,4.72521
0,0,CoupledView,0,0,0,0,0,0
5,3,SideBySide,23,49.89017,11.72614,87,128.0862,46.93305
5,3,FacetoFaceIntersect,34,48.86748,15.71096,69,161.2141,41.7537
5,0,FacetoFaceIntersect,0,0,0,0,0,0
5,3,CoupledView,13,145.3651,7.404449,20,119.117,12.2556
5,3,CoupledView,1,1.224609,0.3984804,48,121.4117,23.34063
5,3,FaceToFaceNoIntersect,36,48.99512,19.46194,104,206.6126,56.91484
5,3,Angled90,21,18.68064,11.04042,56,96.1217,31.98657
6,3,CoupledView,6,201.8803,3.019896,14,248.2052,5.97245
6,3,Angled90,9,221.602,4.31085,35,320.4456,15.8703
6,3,SideBySide,10,218.1163,4.665567,11,208.3249,5.137876
6,3,FaceToFaceNoIntersect,2,132.8958,1.097247,27,137.9081,11.73207
6,3,FacetoFaceIntersect,6,134.8867,3.107388,22,232.6584,9.207162
7,3,FaceToFaceNoIntersect,11,17.26263,5.151069,22,20.9837,12.41908
7,3,SideBySide,6,104.5449,2.669618,16,189.2546,7.376863
7,3,Angled90,23,359.2367,12.73822,23,210.0213,11.63211
7,3,FacetoFaceIntersect,2,162.2169,1.117448,16,174.2335,7.437827
7,3,CoupledView,2,112.5881,1.779029,2,184.2796,1.753353
8,3,FacetoFaceIntersect,6,436.223,3.787833,13,487.1573,7.416712
8,3,SideBySide,8,285.8242,3.722274,29,298.873,13.63122
8,3,FaceToFaceNoIntersect,4,323.3871,2.212399,52,374.4962,25.08907
8,3,CoupledView,5,262.3895,2.611479,18,300.5532,9.576723
8,3,Angled90,5,266.1681,2.608775,53,335.6688,28.72197
9,3,CoupledView,2,480.0353,1.419273,13,494.1259,6.42169
9,3,SideBySide,2,290.4218,1.457347,21,305.9159,9.475517
9,3,Angled90,6,279.1019,3.191086,15,307.626,7.833551
9,3,FacetoFaceIntersect,4,280.3554,2.100859,11,310.6608,5.452298
9,3,FaceToFaceNoIntersect,10,199.1907,4.995471,17,211.6912,7.548646
