groupID,userId,collabType,trialNumber,dominantPlayer,puzzleId,centerPosAreaX,centerPosAreaY, centerPosAreaZ, centerRotAreaX, centerRotAreaY, centerRotAreaZ, Angled90, boundsSizeX, boundsSizeY, boundsSizeZ, numberOfBoundViolationsP1, timeOutsideBoundsP1, numberOfBoundViolationsP2, timeOutsideBoundsP2, totalTime, isTraining
10,19,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,20,32.20764,8,-8.312317,240.0113,
10,20,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,33,84.96143,2,-1.838013,240.0127,
10,19,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,13,249.1729,21,-40.35687,240.0123,
10,20,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,29,237.1151,1,-0.3071289,197.3132,
10,19,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,1,8.5065,7,-15.73279,191.7159,
10,20,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,9,21.186,1,-0.724823,128.9295,
10,19,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,1,0.9745331,23,-36.00658,240.0133,
10,20,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,41,118.5013,11,-27.55051,234.5273,
10,19,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,4,12.75525,14,12.54669,229.2923,
10,20,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,4,1.558655,4,-2.194885,113.6261,
11,21,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,0,0,23,-67.68359,240.0117,
11,22,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,37,280.0927,9,-112.9323,229.4179,
11,21,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,8,13.74088,6,-7.822998,152.1083,
11,22,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,17,40.26151,2,-0.3474121,88.13742,
11,21,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,5,3.16011,12,-14.38438,97.46436,
11,22,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,13,12.41724,1,-1.810211,96.75516,
11,21,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,7,3.744339,25,-36.55702,154.0162,
11,22,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,28,32.34845,4,-6.821869,105.2461,
11,21,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,1,0.2786255,4,-6.431885,110.1608,
11,22,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,9,16.16556,0,0,74.29929,
12,23,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,23,56.70169,8,-14.02005,231.9371,
12,24,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,15,12.82153,1,-4.509705,240.0126,
12,23,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,16,25.97406,7,-35.53085,202.1447,
12,24,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,12,18.91809,2,-7.420898,164.1068,
12,23,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,7,14.31039,12,-19.65799,180.731,
12,24,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,43,74.94116,2,-0.9466553,238.2724,
12,23,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,7,10.51227,42,-70.65341,192.7331,
12,24,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,17,20.86551,8,-12.4436,156.5357,
12,23,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,0,0,21,-22.2675,164.5408,
12,24,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,6,6.374512,3,-30.07111,125.492,
2,3,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,3,240.4703,11,-7.141296,240.011,
2,4,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,14,250.4828,0,0,240.0131,
2,3,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,4,240.7211,6,-6.613312,240.0119,
2,4,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,2,148.573,1,-0.5144043,142.2803,
2,3,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,3,240.7637,18,-34.30331,240.0117,
2,4,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,19,187.2579,1,-0.2090454,164.5133,
2,3,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,2,157.6764,51,-88.66913,155.964,
2,4,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,12,201.7542,10,-22.70612,191.4529,
2,3,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,1,158.2761,25,-30.37791,158.2761,
2,4,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,2,167.5356,2,-9.189545,168.2734,
3,5,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,14,256.0269,20,-191.8138,240.0177,
3,6,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,55,345.0194,14,213.2297,240.0186,
3,5,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,2,153.2029,7,137.0522,152.9246,
3,6,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,12,252.5068,21,190.3136,230.161,
3,5,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,12,187.4991,8,-71.82423,166.2801,
3,6,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,11,161.5473,12,140.1914,150.9107,
3,5,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,5,5.205856,9,143.3613,146.774,
3,6,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,1,0.1952209,3,83.20465,88.71558,
3,5,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,3,1.154831,15,120.8407,143.4194,
3,6,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,5,2.212799,3,184.5331,187.2486,
4,7,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,4,1.447815,35,-41.13969,227.5788,
4,8,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,50,147.1289,6,-4.929291,240.0132,
4,7,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,1,0.4876404,27,-52.16603,207.0044,
4,8,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,43,45.0029,4,-33.36737,159.9746,
4,7,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,1,0.1118164,24,-81.6991,201.2945,
4,8,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,10,7.876953,7,-3.009857,159.9897,
4,7,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,4,2.394592,26,-30.20068,191.4935,
4,8,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,8,3.368866,6,-3.173157,169.248,
4,7,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,0,0,8,126.329,136.2808,
4,8,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,2,0.3334961,10,-165.4063,211.0546,
5,9,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,5,4.437897,22,-37.56357,147.3191,
5,10,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,65,90.52267,18,-45.45227,235.6276,
5,9,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,33,44.20299,20,-92.5098,182.7924,
5,10,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,49,68.70435,1,-4.66449,125.6848,
5,9,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,9,112.1689,14,5.071808,117.0118,
5,9,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,0,0,0,0,1.586273,
5,10,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,48,121.4117,1,-1.224609,141.3038,
5,9,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,14,19.93686,45,-85.60075,101.7657,
5,10,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,59,96.45462,22,-28.61295,137.8678,
5,9,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,14,9.896263,16,-20.52206,92.85575,
5,10,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,40,75.59964,7,-8.784378,91.38217,
6,11,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,0,0,1,240.012,240.0121,
6,12,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,13,8.193237,6,194.7236,198.302,
6,11,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,6,10.67377,20,180.3104,240.0122,
6,12,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,15,20.73166,3,206.6138,208.7711,
6,11,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,7,6.753891,6,183.3349,193.9999,
6,12,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,5,3.660034,3,209.9686,210.6655,
6,11,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,1,0.2221375,10,-76.61041,120.9237,
6,12,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,17,18.13864,1,132.6737,132.6737,
6,11,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,4,3.159393,13,-153.3728,208.2262,
6,12,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,9,10.5939,2,129.8065,130.7669,
7,13,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,9,14.2135,1,-0.7515869,240.0115,
7,14,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,21,20.23212,2,-3.049133,240.0125,
7,13,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,4,1.511612,6,171.9473,176.5006,
7,14,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,10,8.200592,2,102.7823,102.9078,
7,13,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,3,1.01532,2,178.8508,182.0802,
7,14,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,21,24.71164,20,254.1884,240.0306,
7,13,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,1,0.2367554,1,154.1271,154.1271,
7,14,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,15,20.10638,1,161.9802,161.9803,
7,13,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,1,0.5601807,2,182.3859,183.3328,
7,14,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,0,0,1,112.0279,112.0279,
8,15,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,1,240.0112,10,229.399,240.0112,
8,16,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,3,176.4464,5,150.9986,173.6052,
8,15,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,5,151.1334,13,142.1939,148.7254,
8,16,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,16,143.6162,3,132.5502,133.6206,
8,15,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,2,179.9373,24,146.7177,179.867,
8,16,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,28,161.4799,2,138.4945,140.9722,
8,15,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,1,125.403,16,96.96068,125.403,
8,16,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,2,127.1059,4,116.4174,126.702,
8,15,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,2,91.75677,17,65.79337,91.57543,
8,16,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,36,218.3114,3,174.1335,174.2724,
9,17,CoupledView,0,P1,2,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,1,240.0111,3,236.6692,240.0111,
9,18,CoupledView,0,P2,3,0,0.471,-0.372,0,0,0,CoupledView,0.6,1,0.8,10,250.7729,1,240.0242,240.0242,
9,17,SideBySide,0,P1,2,0,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,1,96.46304,5,93.17792,96.46304,
9,18,SideBySide,0,P2,3,0.59,0.471,-0.372,0,0,0,SideBySide,0.6,1,0.8,16,206.1677,1,193.9588,193.9588,
9,17,Angled90,0,P1,2,0,0.471,-0.372,0,0,0,Angled90,0.6,1,0.8,4,146.0652,4,142.2379,144.4369,
9,18,Angled90,0,P2,3,0.651,0.471,0.267,0,270,0,Angled90,0.6,1,0.8,11,160.9902,2,131.8394,132.438,
9,17,FacetoFaceIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,3,115.5906,1,114.421,114.421,
9,18,FacetoFaceIntersect,0,P2,3,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,10,196.2398,1,164.7649,164.7649,
9,17,FaceToFaceNoIntersect,0,P1,2,0,0.471,-0.372,0,0,0,FaceToFaceNoIntersect,0.6,1,0.8,9,86.93993,1,83.86183,83.86185,
9,18,FaceToFaceNoIntersect,0,P2,3,0,0.471,0.442,0,180,0,FaceToFaceNoIntersect,0.6,1,0.8,16,127.8294,1,112.2508,112.2508,
